#,utterance_id,translation,emotion_words,asl_gloss,count_asl_gloss,negative,wh_question,yes_no_question,topic_focus,conditional_when,role_shift,head_pos_tilt_fr_bk,head_pos_turn,head_pose_tilt_side,head_pose_jut,head_mvmt_nod,head_mvmt_nod_cycles,head_mvmt_shake,head_mvmt_side_to_side,head_mvmt_jut,body_lean,shoulders,face_eye_brows,face_eye_gaze,face_eye_aperture,face_nose,face_mouth,face_cheeks,count_face_eye_brows,count_face_eye_gaze,count_face_eye_aperture,count_face_nose,count_face_mouth,count_face_cheeks
1078832,19262603,The first one is the voice and the second one is the control of sounds.,,(nd-2)FIRST-IN-LIST;VOICE;(nd-2)FIRST-AND-SECOND-IN-LIST;MANAGE/CONTROL;fs-OF;fs-SOUND;(nd-2)FIRST-AND-SECOND-IN-LIST,7,,,,,,,,slightly right;slightly left,slightly right;slightly right,,single,,,,,,,,left;left,slightly squinted;slightly squinted;squint;slightly squinted,,,,0,2,4,0,0,0
1078832,8400279,The second part of this article is titled Sensory Orientation.,,THIS;ARTICLE;QUOTE/TOPIC;fs-SENSORY;fs-ORIENTATION;SECOND;SOME,7,,,,topic;topic,,,slightly back;back;further back,,slightly right,,,,,,,,,raised;lowered;slightly lowered,down,lowered lid;wide;squint;blink;blink;lowered lid,,,,3,1,6,0,0,0
1078832,19052702,Most of it is focused on American culture and how people interpret or give meaning to different noises and voices.,culture,MOST;FOCUS/NARROW;ns-AMERICA;CULTURE;GIFT;MEAN;INTERPRET;TO/UNTIL;DIFFERENT-arc;NOISE;VOICE,11,,,,focus,,,,right;slightly left;slightly right;slightly right,slightly left,,,,,,,,,raised;lowered;raised,left;left;left,wide;wide;lowered lid,,,,3,3,3,0,0,0
1078832,18780843,"In 1982, Edward Hall wrote about it, as he quoted.",,IN;NINETEEN;EIGHTY-TWO;IX-3p:i;WRITE;QUOTE/TOPIC,6,,,,,,,,,slightly right,,,,,,,,,lowered,,further lowered;lowered lid,,,,1,0,2,0,0,0
1078832,18849720,People from different cultures don't just speak different languages.,don,PEOPLE;DIFFERENT-arc;CULTURE;NOT;ONLY;TALKwg;DIFFERENT;LANGUAGE,8,negation,,,,,,,slightly right;further left;right;left,slightly right,,,,slow,,forward,,,lowered,,squint,,,,1,0,1,0,0,0
1078832,18337728,"The previous issue in DESDJ volume one number one, focused on visual feeling specifically the tactile orientation.",feeling,BEFORE_2;fs-ISSUE;ns-fs-DESDJ;VOL;ONE;NUMBER;ONE;IX-1p;FOCUS/NARROW;alt.SEE;FEEL;fs-TACTILE;MAJOR;fs-ORIENTATION;TALK-OVER;STILL,16,,,,topic,,,slightly back;slightly front,right,slightly right;right;slightly right,,slight slow head nod,,,,,forward/left,,raised;raised-furrowed,other,slightly wide;blink;lowered lid;slightly squinted,,,,2,1,4,0,0,0
1078832,19246273,There are a lot of key points to cover related to the audio vocal orientation concept.,cover;related,REALLY;A-LOT;INCLUDE/INVOLVE;TO/UNTIL;FULL;IN;THAT;GROUP/TOGETHER;MAJOR,9,,,,,,,,slightly right,slightly right;slightly right;slightly right,,slow;single,,,,,,,,left;left;left,blink;squint;lowered lid;wide;blink;lowered lid,,,,0,3,6,0,0,0
1078832,18344650,Now as we move on to the next topic we will talk specifically about the audio vocal orientation.,talk,NOW;MOVING-ON-TO-NEXT-TOPIC;TALK;ABOUT;fs-AUDIO;fs-VOCAL;fs-ORIENTATION;MAJOR,8,,,,,,,slightly back;slightly front,left,slightly left,,,,,,,,,,other;left;left,lowered lid;blink;blink,,,,0,3,3,0,0,0
1078832,19228641,"The testimonies as well. It's becoming to be like a bricolage, but we collect and organize the deaf experiences instead.",organize,LECTURE;fs-TESTIMONIES;DIFFERENT;TOTAL_3;BECOME;SAME;fs-BRICOLAGE;DCL:5gathering information;ORGANIZE,9,,,,,,,,slightly left;slightly right;slightly right;slightly right,slightly right,,,,,,,forward,,,other;other;other,squint,,,,0,3,1,0,0,0
1078832,19256053,"But, for the purpose of this, I would like to focus on two things.",focus,BUT;FOR;THINKMEAN;THINKMEAN;THIS_2;FOCUS/NARROW;ON;TWO;(nd-2)FIRST-AND-SECOND-IN-LIST,9,,,,focus,,,,right,slightly right,,,,,,,,,slightly raised,left;left;left,further lowered;slightly squinted;blink;further lowered;squint,,,,1,3,5,0,0,0
1078832,18953718,Now I would like to focus on audio vocal orientation. They are based on how the specfifc culture...,focus;culture,NOW;IX-1p;MOVING-ON-TO-NEXT-TOPIC;FOCUS/NARROW;fs-AUDIO;fs-VOCAL;fs-ORIENTATION;MAJOR;SET-UP;ON;WHAT;HOW;SPECIFIC;CULTURE;5resignation;1focus,16,,whq,,,,,,left;slightly right,slightly left;slightly left,,,,,,,,,lowered;slightly raised,,blink;further lowered;closed;further lowered;lowered lid;further lowered;squint;further lowered;blink;lowered lid;squint;slightly squinted,,,,2,0,12,0,0,0
1078832,19160824,"Now, on a related topic, how do the deaf people's experiences were included in that world?",related;included,AND;MORE;COOPERATE/UNITE;HOW;DEAF;PEOPLE;POSS-3p-pl-arc;EXPERIENCE;IN;THAT;WORLD,11,,whq,,topic,,,,slightly right;right,,,,,,,,back,,slightly raised;lowered,left;other,blink;wide;squint;slightly squinted,,,,2,2,4,0,0,0
1379841,24428547,That first pathway has a visual-tactile orientation. The other path is audiovocal.,,DCL:Bpathway of sign language;alt.SEE;fs-TACTILE;fs-ORIENTATION;DCL:Bpathway of orientation;IX-3p:i;fs-AUDIO;fs-VOCAL;DCL:Bpathway of audiovocal;PARALLEL;IX-3p:i;fs-AUDIO;fs-VOCAL;DCL:Bpathway of audiovocal,14,,,,,,,,right;left;left;slightly right,,,,,,,,,,further raised,other;into space;left;into space,wide;lowered lid;blink;lowered lid,,,,1,4,4,0,0,0
1379841,29238789,"They talk about the superiority of vision, and the ""tyranny of the hegemony of sound"".",talk;superiority;vision;tyranny,ABOUT;alt.SEE;fs-VISION;SUPERIOR;fs-TYRANNY;fs-OF;fs-HEGEMONY;fs-OF;alt.SEE;SUPERIOR;DISCUSS;AREA;WOW;SUPERIOR,14,,,,,,,,slightly right;slightly left;right,slightly right;slightly left;slightly left,,,,,,,left;left,,raised-furrowed;raised;further raised;raised-furrowed,other;up/right;up/right;up/right;up/right;left;up/right;up,squint;wide;wider;squint;lowered lid;squint,,,,4,8,6,0,0,0
1379841,24480520,"Deaf people made progress with the growth of signing.  The progress could have been greater, but it wasn't permitted.",progress;growth;progress;greater,DEAF;PEOPLE;PROGRESS;GROW;CAN;SEE;CAN;GROW;MORE;BUT;NOT;ALLOW,12,negation,,,,,,,right;slightly left;slightly left,,,,,slight slow head shake;slow,,,,,raised-furrowed,other;other;other,lowered lid;squint;slightly squinted;squint,,,,1,3,4,0,0,0
1379841,29310279,The Deaf experience has been shown to be really different. The Deaf experience the dominance of sound around them.,,DEAF;EXPERIENCE;SHOW;DIFFERENT;DEAF;EXPERIENCE;SHOW;part:indef;REALLY;fs-HEGEMONY;fs-OF;NOISE;SUPERIOR,13,negation,,,,,,,,slightly right;slightly right,,slow;single,,slow,,,,,raised-furrowed;further raised;raised-furrowed;further raised;raised-furrowed,left,squint;wide;further squinted;wide;wider;blink;blink,,,,5,1,7,0,0,0
1379841,29096274,It's possible to enable people to learn about different orientations.,enable;learn,CAN;MAKE;IX-3p:k;DCL:flat-Oput it collectively;LEARN;DCL:bent-1this pathway;SET-UP;DIFFERENT;LIST-ORDER,9,,,,,,,,right;slightly right,slightly right;slightly right,,,,,,,,,raised-furrowed,other;left;other,squint;lowered lid;squint,,,,1,3,3,0,0,0
1379841,29112665,The social institutions influence everything from medication to education. It would be possible to train people to learn to see things in a different way.,influence;learn,fs-SOCIAL;INSTITUTE;MEDICINE;TO/UNTIL;ED;PRACTICE;HOPE;IX-3p:i;FUTURE;LEARN;DCL:bent-1switch to this pathway;LEARN;PROGRESS;IX-loc:j,14,,,,,,,,slightly left;slightly left,slightly right;slightly right;slightly left;slightly right,,,,,,,left;left,,further raised;raised-furrowed,other;other;into space;left;left;left,wide;further lowered;squint;further squinted;squint;blink;blink;lowered lid;blink;lowered lid;blink,,,,2,6,11,0,0,0
1379841,29154656,Many colleagues in cultural and visual studies discuss the role of the senses in today's world.,,MANY;NOW;SCHOOL;IN;CULTURE;STUDY;alt.SEE;CULTURE;alt.SEE;STUDY;IX-3p-pl-arc;DISCUSS;ABOUT;fs-SENSES;IN;NOW;WORLD,17,,,,,,,,slightly right;left;right,right;slightly right;slightly right,,,,,,,left,,raised-furrowed;further raised;raised-furrowed,up/right;up/left;left;left;other,blink;blink;further squinted;wide;lowered lid;squint;wide,,,,3,5,7,0,0,0
1379841,24340345,The discussion so far then shows two different orientations - in relation to the development of language.,discussion,DISCUSS;UP-TO-NOW;SHOW;TWO;DIFFERENT;fs-ORIENTATION;FROM;GROW;LANGUAGE,9,,,,,,,,,slightly right,,slight rapid head nod,,,,,,,raised-furrowed,watch hands;into space;down;watch hands,lowered lid;lowered lid;lowered lid,,,,1,4,3,0,0,0
1379841,29294470,"In the hierarchy of the senses, the visual is now placed above sound.",,ALSO;fs-SENSE;LIST-ORDER;alt.SEE;NOW;REALLY;SUPERIOR;HEARNOISE;HEARNOISE;UNDER;SUPERIOR,11,,,,topic,,,,slightly right,slightly right;right;slightly right;right,,single,,,,,,,further raised;raised-furrowed;further lowered;raised-furrowed,down/right,squint;further squinted;blink;further squinted;slightly squinted,,,,4,1,5,0,0,0
1379841,29052074,"Often because judgments come from the audio-oral perspective, the sensory politics results in judgments of broken sounds and harsh noises, This needs to be improved.",politics;broken;improved,OFTEN;BECAUSE;SET-UP;ON;DCL:bent-1this pathway;COURT;DCL:bent-1this pathway;fs-SENSORY;IX-3p:i;POLITICS;LOOK:j;BREAK;HEAR;LOOK:j;NOISE;LOOK:j;MUST;GRADUAL-IMPROVE;DCL:bent-1this pathway;DCL:bent-1this pathway;fs-SENSORY;IX-3p:i;POLITICS;LOOK:j;HEAR;LOOK:j;LOOK:j,27,,,,,,,,slightly left;right;right,slightly right;slightly right,,,,slow,,,,,raised-furrowed;further lowered;raised-furrowed;further lowered,other;down/left;left;left;left;other;other;other;other;other;other,squint;slightly wide;further squinted;blink;further squinted;blink;further squinted;blink;further squinted;blink;closed;squint;blink;squint,,,,4,11,14,0,0,0
1379841,29131229,"In their lives, all Deaf people really experience the hegemony of sound.",,ALL;LIVE;DEAF;PEOPLE;EXPERIENCE;REALLY;WOW;REALLY;BIG;fs-HEGEMONY;IF;NOISE;fs-SOUND,13,,,,,conditional,,,,slightly right;slightly left,,,,,,,left,,raised-furrowed,down/right;down/right;down/right;into space,squint;lowered lid;blink;lowered lid;blink;lowered lid;blink;squint;blink;blink;slightly squinted;slightly wide,,,,1,4,12,0,0,0
1379841,24363254,The growth of signing went in one direction; the growth of speaking went in another.,growth;growth,GROW;TALKwg;DCL:bent-1length of time;GROW;SIGN;DCL:Bpathway of sign language,6,,,,,,,,slightly left;slightly right,,,,,,,,,,raised-furrowed,watch hands;into space;watch hands;other,closed;lowered lid;wide;lowered lid;wide,,,,1,4,5,0,0,0
1379845,65838595,The deaf person is signing over there but you are also hearing the voice of the interpreter over here.,hearing,DEAF;alt.USE-SIGN-LANGUAGE;LOOK;BUT;IX-3p:j;IX-1p;HEAR;IX-3p:j;VOICE;SAME;IX-1p;HEAR;IX-3p:j,13,,,,foc/prop-with-ref-to,,,,right,,,,,,,,,,raised;raised-furrowed,other;other,wide;squint;further squinted,,,,2,2,3,0,0,0
1379845,66814215,"The sound of their voice helps you to make a connection to who they are but now,",,THAT;HEAR;MATCH;NOW,4,,,,,,,,,slightly left,,slight rapid head nod,,,,,,,raised-furrowed,up/right,closed;squint;blink;squint;blink,,,,1,1,5,0,0,0
1379845,66557963,There are real implications behind the value of speech culture and what it means when it's given a voice.,real;speech;culture,REALLY;fs-IMPLY;BEHIND;fs-VALUE;fs-OF;TALKwg;CULTURE;MEAN;GIFT;TO/UNTIL;VOICE,11,,,,,,,slightly back,,left;slightly right;right;slightly right,,,,,,,back,,,,further lowered;squint;slightly squinted,,,,0,0,3,0,0,0
1379845,65875468,It's like ventriloquism when they transfer their voice to the puppet.,,fs-VENTRILOQUISM;LOOK;HEAR;TRANSFER;SO;IX-3p:j;IX-3p:i,7,,,,,,,,right;left,,,,,,,,,,raised-furrowed,other;left;other,further squinted;slightly squinted;squint;slightly squinted,,,,1,3,4,0,0,0
1379845,64091671,"The voice can tell you if a person is intelligent, whether or not they went to college and whether or not they went to a high ranking college.",intelligent,CAN;alt.LOOK-OVER;DECIDE;CLEVER;FINISH;COLLEGE;OR;NEVER;COLLEGE;A-LEVEL-ABOVE;NOT,11,negation,,,,,,,,slightly left,,,,slow;slight rapid head shake,,,,,raised;lowered;raised-furrowed;raised,left;left;left,squint;squint,,,,4,3,2,0,0,0
1379845,66579489,"So when you meet a deaf person and have an experience where you encounter them and they don't talk, you try to figure them out.",don;talk,fs-SO;WHEN;CONFRONT;EXPERIENCE;fs-OF;DEAF;PERSON;MEET;LOOK-OVER;fs-MUTE;NOT;TALK;LOOK-OVER;5not know what to do;5not know what to do,15,,,,,when,,,slightly right;slightly left;slightly right;slightly right,slightly right;slightly left;slightly right,,slow,,,,,,,raised-furrowed;slightly raised;slightly raised,left;other;other;other;other;other;into space;other;other;other;into space;other,squint;slightly squinted;blink;squint;blink;squint;blink;squint;blink;lowered lid;squint;blink;squint;blink;squint;blink;squint;blink;squint;blink;squint;blink;squint;blink;squint;blink;squint;blink;squint;blink;squint,,,,3,12,31,0,0,0
1379845,66023978,... whose voice it is when the sound is coming from a different direction,coming,WHO;VOICE;IX-3p:i;BUT;HEAR;IX-loc:l;MESSED-UP;IX-3p:j;IX-3p:j;IX-loc:l,10,,whq,,,,,,slightly right;slightly left,,,,,,,,,,raised-furrowed;slightly raised,other;other;other;other;other;left,squint;blink;squint;blink;squint;blink;squint;blink;squint,,,,2,6,9,0,0,0
1379845,64369711,"If you speak fast it means that you're smart, witty, smooth, and have a sharp mind.",witty,"FAST_3;TALKwg;MEAN;CLEVER;fs-WITTY;SMOOTH;FAST_2;MIND;5so, all set",9,,,,,conditional,,,,right;slightly right,,,,,,,slightly forward;slightly forward;slightly forward;slightly forward;slightly forward,,raised-furrowed;raised;raised-furrowed,left,slightly squinted;further squinted;squint;further squinted;blink,,,,3,1,5,0,0,0
1379845,65827375,and an interpreter over here and they feel the experience of tracking who is speaking.,,INTERPRET;IX-3p:i;FEEL;EXPERIENCE;fs-OF;IX-3p:j;WHO;TALK;IX-3p:j;IX-3p:i;IX-3p:j;IX-3p:i;IX-3p:j;IX-3p:i;IX-3p:i;IX-3p:i,16,,whq,,,when,,,,left;slightly right;slightly right;slightly left;slightly right;slightly right;slightly left,,,,,,,,,raised-furrowed,left;other;other;left;other;left;other,blink;squint;blink;squint;blink;squint,,,,1,7,6,0,0,0
1379845,63826223,"Analyzing information from a voice that tells their character, their personality, and their job. You may also be able to tell a person's size, height, weight, age, race, gender, sexual orientation...",information;job;weight,POSS-3p:i;CHARACTER;POSS-3p:i;PERSONALITY;POSS-3p:i;WORK;AMONG_2;CAN;REALLY;ANALYZE_3;FROM;VOICE;ALONE;part:indef;INCLUDE/INVOLVE;fs-SIZE;part:indef;HEIGHT_2;POUND/WEIGH;OLD;part:indef;fs-RACE;part:indef;fs-GENDER;part:indef;fs-SEXUAL;fs-ORIENTATION;SAME;part:indef;part:indef;part:indef;part:indef;part:indef,33,,,,,,,,slightly left;slightly left;slightly right,slightly left,,,,,,,slightly forward;slightly forward;slightly back;slightly forward,,lowered;further lowered;lowered;further raised;raised,left;left;left;left;left;left,further squinted;squint;slightly squinted;wide;slightly squinted;blink;lowered lid;squint,,,,5,6,8,0,0,0
1379845,65174582,"People who watch silent films can't hear it but can imagine a strong, heavy baritone voice from that swashbuckler character.",watch,PEOPLE;WHO;LOOK;QUIET;CANNOT;HEAR;BUT;THAT;CHARACTER;BCL:crvd-5swashbuckler like;VISUALIZE;HEAVY;fs-BARITONE;STRONG;IX-3p:i,15,negation,,,,,,,,,,,,rapid,,,slightly back,,raised-furrowed;raised;slightly raised;raised-furrowed,up;into space;up;into space;into space,slightly squinted;blink;slightly squinted;squint;slightly squinted;squint;further lowered;squint,,,,4,5,8,0,0,0
1379845,64346425,We have our own idea of what our speech means.,speech,IX-1p-pl-arc;HAVE;fs-OWN;IDEA;TALKwg;MEAN,6,,,,,,,,,right;slightly right,,single,,,,,,,raised-furrowed;lowered,,lowered lid;squint;lowered lid;squint,,,,2,0,4,0,0,0
1379845,64244796,"Even the tempo and speed of your voice, provides information.",information,fs-EVEN;INCLUDE/INVOLVE;fs-TEMPO;FAST_3;POSS-2p;VOICE;part:indef,7,,,,,,,,,,,,,,,,slightly forward,,raised,,closed;further squinted;squint;further squinted;wide;blink;further lowered,,,,1,0,7,0,0,0
1379845,64702525,"This is connected to the voice itself, and it is displayed like a print within voice identity.",,SCREAM;STICK-ON-SURFACE;IN;STICK-ON-THROAT;IX-loc:j;fs-PRINT;IX-loc:j;DCL:fanned-flat-Ovoice identity;fs-EVEN,9,,,,,,,back;back,right;right;slightly left,slightly right;slightly right;right,,,,,,,,,raised;raised;slightly raised;further raised,other;up;up;other,wide;wide;slightly squinted;wide;wider,,,,4,4,5,0,0,0
1379845,65254975,"When you start to visualize the character and their culture, you begin to give them a voice.",start;culture,THAT;MEAN;CULTURE;(U-L)BUILD;MEAN;GIFT;TO/UNTIL;THAT;PERSON;LOOK;VOICE;VISUALIZE,12,,,,,,,,,right;slightly right,,,,,,,,,lowered;slightly lowered,left,squint;slightly squinted;squint;slightly squinted;squint;slightly squinted;squint;further squinted;squint;slightly squinted;squint,,,,2,1,11,0,0,0
1379845,66058307,"and even worse, whose is the voice that you're associating with a persona.",worse,AND;WORSE;THAT;WHO;VOICE;VISUALIZE;POSS-3p:i;Clet's see;fs-PERSONA;IX-3p:l;IX-3p:l;IX-3p:l,12,,whq,,topic,,,,left,slightly left,,,,rapid,,,back/right,,raised;raised-furrowed,down;into space;left;left;left;up/left,blink;wider;blink;wider;blink;squint;blink;squint;blink;squint;blink;slightly squinted,,,,2,6,12,0,0,0
1379845,66464326,Suppose a deaf person is signing and the signing is really heavy.,,IF;IX-3p:i;DEAF;PERSON;IX-3p:i;REALLY;alt.USE-SIGN-LANGUAGE;SIGN;ALSO;HEAVY;alt.USE-SIGN-LANGUAGE,11,,,,,conditional,,,,slightly right;slightly right,,,,,,,slightly left;slightly left;slightly left,,raised;further lowered;further raised;raised-furrowed,other;up/right;down/right,wider;further squinted;wider;further squinted;squint,,,,4,3,5,0,0,0
1379845,66097229,That identity is given to the deaf person.,,GIFT;THAT;IDENTIFY;TO/UNTIL;IX-3p:i;DEAF;PERSON,7,,,,,,,,,slightly right;right,,,,,,,,,further lowered;raised-furrowed;raised,other,squint;further squinted;squint;slightly squinted,,,,3,1,4,0,0,0
1379845,64388943,"When you look at a person and they are talking slow, you wonder why. You think that they must be dimwitted and have a slower mind.",,LOOK:j;PERSON;WHO;TALKwg;SLOW;ALSO;WHAT;part:indef;fs-DIMWITTED;SLOW;MIND;part:indef,12,,,,,,,front,slightly left;left;slightly left,,,,,,,,right;slightly right,,raised;raised-furrowed;lowered,left;left;left;left,squint;slightly squinted;further squinted,,lips pursed: oo-tight,,3,4,3,0,1,0
1379845,65308759,"When it was time for his voice test, his voice didn't match the character. Things weren't like they used to be and his career slumped.",time;career,TIME;VOICE;TEST;LOOK;NOT;MATCH;MISMATCH;LOOK;POSS-3p:i;fs-CAREER;NOT;SAME;BEFORE;DECLINE_2,14,negation;negation,,,,when,,,,,,,,rapid;slow,,,back,,slightly raised;raised;slightly raised;raised;slightly raised;slightly raised,into space,slightly wide;slightly squinted;blink;wider;blink;slightly squinted;blink;slightly squinted;blink;wide;blink;lowered lid;blink;slightly squinted;blink;squint;slightly squinted;blink,,,,6,1,18,0,0,0
1379845,64911193,"That person doesn't match up to what you visualized and as you look up and down at that person, you are still in awe.",,MISMATCH;FROM;POSS-3p:i;VISUALIZE;LOOK-OVER;WHO;IX-honorific:i;WOW;5surprised,9,,whq,,,,,,slightly right,slightly right,,,,,,,back/left,,slightly raised;raised-furrowed,down/right;down/right;down/right;down/right;down/right;down/right;into space;down/right,blink;squint;blink;squint;blink;squint;blink;squint;blink;blink;squint;blink;squint;slightly squinted;blink;squint;blink;blink;blink,,,,2,8,19,0,0,0
1379845,64309594,"For example, in New York, the people there speak quickly.",,FOR;SHOW;ns-NEW-YORK;FAST_3;TALKwg,5,,,,topic,,,,left,,,,,,rapid,,,,further raised;raised-furrowed,,wide;squint;blink;lowered lid,,,,2,0,4,0,0,0
1379845,66919772,How do I trust them if I don't know who they are?,trust;don,HOW;IX-1p;CONFIDENT;IX-1p;KNOWNEG;KNOWNEG;IX-3p:i;part:indef,8,negation,whq,,,conditional,,,slightly right;right;slightly right,slightly right,,,,single,,,back/left,,raised-furrowed,other;other;other,wide;blink;wide,,,,1,3,3,0,0,0
1379845,66989916,So that experience is really off and it's a different orientation.,,fs-SO;EXPERIENCE;REALLY;MISMATCH;DIFFERENT;fs-ORIENTATION;part:indef,7,,,,,,,front,,slightly right;slightly right,,,,,,,back/left,,slightly raised,other;other,blink;squint;blink;squint;blink;squint;wide;blink;squint;wide;blink,,,,1,2,11,0,0,0
1379845,67058780,Wow there are a lot of different experiences.,,5wow;DIFFERENT;AMONG_2,3,,,,,,,,,slightly left;slightly right,,slight rapid head nod,,,,,,,raised-furrowed,left;into space;watch hands,slightly squinted;blink;squint;blink;squint;blink;lowered lid;blink;lowered lid;blink;lowered lid,,,,1,3,11,0,0,0
1379845,66064734,"The voice holds the identity, and that identity is what gets associated with the deaf person.",,TALKwg;IX-loc:j;IDENTIFY;IX-loc:j;THAT;IX-loc:k;DEAF;PERSON;IX-3p:i;SCL:B-Ldeaf person;BELONG;TALKwg;BPCL:4voice identity;BPCL:4voice identity,14,,,,topic,,,,left;left;slightly right;slightly right,left;slightly left;slightly left;slightly left;slightly right,,,,,,,,,raised-furrowed;raised,into space;into space;up/right;left;up/right,squint;slightly squinted;squint;slightly squinted;wider;wide,,,,2,5,6,0,0,0
